Strike,Last,"% From Last",Bid,Midpoint,Ask,Change,%Chg,IV,Volume,"Open Int",Type,DTE,"Exp Date",Time
150,,+0.26%,53.1,53.925,54.75,0,N/A,39.33%,,,Call,44,08/30/19,N/A
155,,+0.24%,48.2,49.025,49.85,0,N/A,38.87%,,,Call,44,08/30/19,N/A
160,,+0.21%,43.25,44.05,44.85,0,N/A,35.22%,,,Call,44,08/30/19,N/A
165,,+0.19%,38.35,39.15,39.95,0,N/A,33.34%,,,Call,44,08/30/19,N/A
170,,+0.16%,33.45,34.25,35.05,0,N/A,30.86%,,,Call,44,08/30/19,N/A
175,,+0.14%,28.65,29.425,30.2,0,N/A,28.92%,,,Call,44,08/30/19,N/A
177.5,,+0.13%,26.3,27.075,27.85,0,N/A,28.34%,,,Call,44,08/30/19,N/A
180,25.68,+0.11%,24.25,24.625,25,-0.12,-0.47%,26.52%,8,17,Call,44,08/30/19,07/16/19
182.5,23.6,+0.10%,21.95,22.325,22.7,-0.5,-2.07%,34.41%,141,2,Call,44,08/30/19,07/17/19
185,21.2,+0.09%,19.9,20.1,20.3,0.22,+1.05%,32.13%,15,23,Call,44,08/30/19,07/17/19
187.5,18.71,+0.08%,17.6,17.975,18.35,0.71,+3.94%,29.32%,1,2,Call,44,08/30/19,07/17/19
190,16.3,+0.07%,15.7,15.925,16.15,-0.15,-0.91%,26.86%,4,20,Call,44,08/30/19,07/17/19
192.5,14.29,+0.05%,13.7,13.925,14.15,-0.65,-4.35%,26.12%,64,13,Call,44,08/30/19,07/17/19
195,12.47,+0.04%,11.85,12.825,13.8,-0.11,-0.87%,25.80%,9,2,Call,44,08/30/19,07/17/19
197.5,10.48,+0.03%,10.25,10.35,10.45,-0.62,-5.59%,24.38%,2,15,Call,44,08/30/19,07/17/19
200,9.4,+0.02%,8.65,8.75,8.85,0.3,+3.30%,25.95%,4,77,Call,44,08/30/19,07/17/19
202.5,7.67,0.00%,7.2,7.3,7.4,0.05,+0.66%,24.59%,4,14,Call,44,08/30/19,07/17/19
205,6,-0.01%,5.85,5.975,6.1,-0.5,-7.69%,22.98%,23,225,Call,44,08/30/19,07/17/19
207.5,5.15,-0.02%,4.7,4.825,4.95,-0.28,-5.16%,23.78%,25,199,Call,44,08/30/19,07/17/19
210,4,-0.03%,3.7,3.825,3.95,0.06,+1.52%,22.97%,101,292,Call,44,08/30/19,07/17/19
212.5,3.4,-0.04%,2.9,3,3.1,-0.03,-0.87%,23.72%,76,221,Call,44,08/30/19,07/17/19
215,2.44,-0.06%,2.22,2.285,2.35,-0.11,-4.31%,22.50%,27,741,Call,44,08/30/19,07/17/19
217.5,2.04,-0.07%,1.66,1.73,1.8,0.17,+9.09%,23.17%,401,268,Call,44,08/30/19,07/17/19
220,1.27,-0.08%,1.23,1.29,1.35,-0.14,-9.93%,21.42%,290,83,Call,44,08/30/19,07/17/19
222.5,1.08,-0.09%,0.9,0.96,1.02,0.03,+2.86%,22.30%,12,46,Call,44,08/30/19,07/17/19
225,0.79,-0.11%,0.66,0.705,0.75,0,0.00%,22.16%,1,24,Call,44,08/30/19,07/17/19
227.5,0.6,-0.12%,0.47,0.625,0.78,-0.07,-10.45%,22.32%,2,1,Call,44,08/30/19,07/17/19
230,0.43,-0.13%,0.35,0.395,0.44,-0.04,-8.51%,21.82%,5,27,Call,44,08/30/19,07/16/19
235,0.24,-0.16%,0.2,0.23,0.26,-0.03,-11.11%,22.56%,1,51,Call,44,08/30/19,07/17/19
240,,-0.18%,0.1,0.135,0.17,0,N/A,22.98%,,,Call,44,08/30/19,N/A
245,0.1,-0.20%,0.05,0.08,0.11,-0.01,-9.09%,23.58%,2,4,Call,44,08/30/19,07/16/19
250,0.07,-0.23%,0.03,0.06,0.09,0,0.00%,25.34%,6,140,Call,44,08/30/19,07/17/19
150,0.18,+0.26%,0.14,0.17,0.2,-0.05,-21.74%,42.36%,6,13,Put,44,08/30/19,07/15/19
155,,+0.24%,0.2,0.24,0.28,0,N/A,40.52%,,,Put,44,08/30/19,N/A
160,0.32,+0.21%,0.28,0.32,0.36,0.03,+10.34%,38.32%,5,9,Put,44,08/30/19,07/17/19
165,0.4,+0.19%,0.4,0.435,0.47,-0.03,-6.98%,36.25%,6,16,Put,44,08/30/19,07/16/19
170,0.55,+0.16%,0.55,0.595,0.64,0.03,+5.77%,33.62%,4,17,Put,44,08/30/19,07/17/19
175,0.78,+0.14%,0.79,0.835,0.88,0,0.00%,31.79%,2,14,Put,44,08/30/19,07/17/19
177.5,1.1,+0.13%,0.94,1,1.06,0.02,+1.85%,31.49%,1,2,Put,44,08/30/19,07/12/19
180,1.07,+0.11%,1.16,1.205,1.25,0.01,+0.94%,29.67%,7,77,Put,44,08/30/19,07/17/19
182.5,1.24,+0.10%,1.38,1.525,1.67,-0.11,-8.15%,28.49%,2,2,Put,44,08/30/19,07/17/19
185,1.49,+0.09%,1.69,1.755,1.82,-0.08,-5.10%,27.62%,15,277,Put,44,08/30/19,07/17/19
187.5,1.9,+0.08%,2.06,2.13,2.2,0.02,+1.06%,28.60%,15,26,Put,44,08/30/19,07/16/19
190,2.48,+0.07%,2.53,2.605,2.68,0.03,+1.22%,27.50%,9,84,Put,44,08/30/19,07/17/19
192.5,2.79,+0.05%,3.05,3.15,3.25,0.04,+1.45%,25.94%,2,9,Put,44,08/30/19,07/17/19
195,3.42,+0.04%,3.7,3.825,3.95,-0.13,-3.66%,25.46%,3,40,Put,44,08/30/19,07/17/19
197.5,4.2,+0.03%,4.45,4.6,4.75,0.27,+6.87%,25.13%,1,1,Put,44,08/30/19,07/17/19
200,5.5,+0.02%,5.45,5.55,5.65,0.47,+9.34%,26.25%,22,168,Put,44,08/30/19,07/17/19
202.5,5.9,0.00%,6.5,6.625,6.75,-0.0099999999999998,-0.17%,26.19%,7,99,Put,44,08/30/19,07/16/19
205,6.97,-0.01%,7.75,7.85,7.95,-0.23,-3.19%,22.87%,1,38,Put,44,08/30/19,07/17/19
207.5,8.55,-0.02%,9.05,9.175,9.3,-1.35,-13.64%,25.69%,10,12,Put,44,08/30/19,07/16/19
210,9.8,-0.03%,10.6,10.725,10.85,-0.059999999999999,-0.61%,22.28%,2,23,Put,44,08/30/19,07/17/19
212.5,11.2,-0.04%,12.25,12.375,12.5,11.2,N/A,21.01%,3,,Put,44,08/30/19,07/17/19
215,,-0.06%,13.35,13.925,14.5,0,N/A,24.70%,,,Put,44,08/30/19,N/A
217.5,,-0.07%,15.8,16.15,16.5,0,N/A,26.12%,,,Put,44,08/30/19,N/A
220,,-0.08%,17.8,18.175,18.55,0,N/A,26.37%,,,Put,44,08/30/19,N/A
222.5,,-0.09%,19.5,20.075,20.65,0,N/A,25.53%,,,Put,44,08/30/19,N/A
225,,-0.11%,21.55,22.325,23.1,0,N/A,26.17%,,,Put,44,08/30/19,N/A
227.5,,-0.12%,23.95,24.725,25.5,0,N/A,27.52%,,,Put,44,08/30/19,N/A
230,,-0.13%,25.25,27.225,29.2,0,N/A,29.43%,,,Put,44,08/30/19,N/A
235,,-0.16%,31.15,31.95,32.75,0,N/A,31.06%,,,Put,44,08/30/19,N/A
240,,-0.18%,36,36.825,37.65,0,N/A,33.41%,,,Put,44,08/30/19,N/A
245,,-0.20%,41,41.825,42.65,0,N/A,36.64%,,,Put,44,08/30/19,N/A
250,,-0.23%,45.95,46.775,47.6,0,N/A,39.28%,,,Put,44,08/30/19,N/A
"Downloaded from Barchart.com as of 07-18-2019 05:25am CDT"
